:ID(Address),street,houseNumber,city,zipcode,:LABEL
1,Aspen Way,135,Ashland,89546,Address
2,Elm Street,347,Arlington,46238,Address
3,Poplar Lane,213,Greenville,94041,Address
4,Magnolia Avenue,77,Madison,88262,Address
5,Dogwood Lane,358,Milford,10987,Address
6,Walnut Drive,504,Oakland,45213,Address
7,Willow Road,98,Salem,61734,Address
8,Cedar Lane,690,Dayton,73001,Address
9,Pine Road,402,Franklin,67822,Address
10,Spruce Street,321,Shelbyville,83674,Address
11,Hickory Drive,23,Springfield,92015,Address
12,Magnolia Avenue,172,Georgetown,23879,Address
13,Ash Avenue,551,Lexington,50391,Address
14,Sycamore Court,444,Arlington,41908,Address
15,Maple Street,247,Ashland,34790,Address
16,Oak Avenue,412,Riverview,93516,Address
17,Evergreen Road,310,Auburn,14621,Address
18,Elm Street,250,Bristol,60913,Address
19,Sycamore Court,175,Centerville,77602,Address
20,Hickory Drive,156,Bristol,56743,Address
21,Sycamore Court,75,Clinton,30879,Address
22,Cedar Lane,112,Oakland,99114,Address
23,Willow Road,461,Madison,21569,Address
24,Walnut Drive,408,Kingston,48251,Address
25,Juniper Street,62,Riverview,27384,Address
26,Hickory Drive,88,Springfield,79406,Address
27,Ash Avenue,391,Dayton,68907,Address
28,Pine Road,58,Fairview,83217,Address
29,Magnolia Avenue,329,Milford,54138,Address
30,Birch Way,178,Centerville,26734,Address
31,Poplar Lane,133,Greenville,72541,Address
32,Juniper Street,432,Salem,60142,Address
33,Evergreen Road,496,Springfield,64359,Address
34,Willow Road,153,Auburn,52436,Address
35,Ash Avenue,450,Franklin,60711,Address
36,Juniper Street,112,Fairview,28564,Address
37,Dogwood Lane,412,Clinton,71658,Address
38,Chestnut Street,244,Kingston,20509,Address
39,Cedar Lane,498,Lexington,25599,Address
40,Laurel Street,52,Bristol,97344,Address
41,Spruce Street,320,Georgetown,35206,Address
42,Oak Avenue,90,Fairview,61593,Address
43,Poplar Lane,207,Shelbyville,73307,Address
44,Evergreen Road,274,Dayton,67084,Address
45,Sycamore Court,309,Fairview,64392,Address
46,Cedar Lane,188,Riverview,22496,Address
47,Hickory Drive,278,Georgetown,14599,Address
48,Birch Way,289,Greenville,63481,Address
49,Oak Avenue,62,Salem,32988,Address
50,Willow Road,428,Clinton,14445,Address
51,Laurel Street,329,Arlington,29556,Address
